
进入复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
a       v9      1       int     P       12      

进入复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
a       v9      1       int     P       12      

在复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
a       v9      1       int     P       12      

退出复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
a       v9      1       int     P       12      

在复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
a       v9      1       int     P       12      

退出复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       

进入复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
fibo    v8      0       int     F       0       
testf   v10     0       void    F       0       

在复合语句块，当前符号表如下：
变量名  别名    层号    类型    标记    偏移量  
a       v1      0       int     V       0       
b       v2      0       int     V       4       
c       v3      0       int     V       8       
m       v4      0       float   V       12      
n       v5      0       float   V       16      
d       v7      0       int     V       20      
